title,ministry,schemeCategory,description,beneficiaryState,npiMinistry,slug,tags,__typename
State Disability Pension,,['Social welfare & Empowerment'],"The Social Welfare & Tribal Affairs Department, Government of Mizoram launched the State Disability Pension scheme. It provides a monthly pension of ₹350 to 200 eligible individuals who are completely blind or bedridden.",,[],sdp,"['Pension', 'Disability', 'Blind', 'Bedridden', 'Financial Assistance']",Search
Mukhyamantri Bagwani Mission: Strawberry Vikas Yojana,,"['Agriculture,Rural & Environment']","The scheme aims to promote strawberry cultivation across 20 districts in Bihar. It provides subsidies on seedlings, packaging materials, and equipment to support farmers in enhancing strawberry production.
",,[],mbysvy,"['Agriculture', 'Subsidy', 'Plant Supply', 'Financial Assistance', 'Strawberry Development']",Search
Assistance for Daughter's Marriage,,"['Social welfare & Empowerment', 'Women and Child']","Under this scheme, financial assistance of ₹25,000/- per girl is provided for a maximum of two marriageable daughters of widows of ex-servicemen up to the rank of Havaldar, who are not receiving a Marriage Grant from the Kendriya Sainik Board.",,[],afdm,"['Financial Assistance', 'Marriage', 'Widow', 'Daughter', 'Ex-servicemen', 'Sainik']",Search
Urdu Scholarship- Rajasthan,,['Education & Learning'],"The scheme aims to promote the Urdu language among female students at the undergraduate and postgraduate levels. Under this scheme, a monthly scholarship is provided to undergraduate and postgraduate students who are studying Urdu as an optional subject.",,[],usr,"['Scholarship', 'Girl Student', 'Undergraduate', 'Postgraduate', 'Urdu']",Search
Financial assistance to Meritorious Scheduled Tribe Students who have Passed First Division from Board and University,,['Education & Learning'],"The objective of the scheme is to motivate meritorious Scheduled Tribe students of Rajasthan by providing one-time financial assistance of ₹3,500/- to those pursuing regular college courses and achieving first division.",,[],bufdstmsfa,"['Student', 'Financial Assistance', 'Scheduled Tribe', 'Tribal', 'Higher Education']",Search
Distance Education Scheme for Girls,,['Education & Learning']," The scheme aims to support girls' higher education through distance learning by reimbursing their course fees for UG, PG, Diploma, Certificate, and PG Diploma undertaken by girls through distance education in Rajasthan.",,[],desfg,"['Fee Reimbursement', 'Girl Student', 'Post-Graduation', 'Diploma', 'Undergraduate', 'Distance Education']",Search
Women Scientist Scheme-A,Ministry Of Science And Technology,"['Education & Learning', 'Skills & Employment', 'Social welfare & Empowerment', 'Science, IT & Communications', 'Women and Child']","A Research Grant by MoST for female candidates to pursue research in frontier areas of science and engineering, preferably those having a break in career (minimum two years) and not having regular employment, to explore possibility of re-entry into the profession.
",,[],wos-a,"['Women', 'Scientist', 'Technology', 'Science', 'Empowerment', 'Fellowship', 'Education', 'Unemployed']",Search
Coaching Help Scheme,,"['Education & Learning', 'Social welfare & Empowerment']","The ""Coaching Help Scheme"" provides financial support to non-reserved category students pursuing science in Standard-11 and Standard-12 by covering additional tuition costs.",,[],chs,"['Tuition Fee Assistance', 'Education']",Search
Post Matric Scholarship Students With Disabilities,Ministry Of Social Justice and Empowerment,"['Education & Learning', 'Social welfare & Empowerment']","A scholarship scheme by DoEPwD for students with disabilities pursuing a post-matric qualification from UGC/AICTE recognized universities, i.e. students of Class 11th, Class 12th, including Polytechnics, Post-Matriculation Diploma/Certificates and Bachelor’s/Master’s Degree/Diploma in India.",,[],post-dis,"['Persons With Disability', 'Post-Matric', 'Student', 'Scholarship', 'Diploma', 'Degree', 'Graduation', 'Post-Graduation']",Search
RMEWF-Financial Assistance For Education Of Children & Widows Of Ex-Servicemen,Ministry Of Defence,['Education & Learning'],"A scheme to provide financial assistance to Ex-Servicemen and their widows for helping them in educating their child (for maximum two children) up to graduation and also for widows to pursue Post Graduation degree.
",,[],rmewf-education,"['Wards Of Ex-Servicemen', 'Ex-Servicemen', 'Widow Of Ex-Servicemen', 'Grant']",Search
Women Scientist Scheme-B,Ministry Of Science And Technology,"['Skills & Employment', 'Social welfare & Empowerment', 'Science, IT & Communications', 'Women and Child']",A Research Grant by MoST for female candidates with break in their career interested in addressing societal challenges through viable S&T interventions. Women scientists who wish to apply under this scheme are required to develop their own project/proposals for scientific and technological solutions,,[],wos-b,"['Women', 'Scientist', 'Female', 'Technology', 'Science', 'Research', 'Fellowship']",Search
Research Fellowship In Sciences For Meritorious Students,Ministry of Education,['Education & Learning'],The Research Fellowship in Sciences for meritorious students (RFSMS) scheme of the UGC is open to candidates who have registered for Ph.D. in Science in Universities with Potential for Excellence/Centres with Potential for Excellence/Centres of Advance Studies and Department of Special Assistance.,,[],rfsms,"['Research', 'Fellowship', 'Student']",Search
National Talent Scholarship Postgraduate,Ministry Of Agriculture and Farmers Welfare,['Education & Learning'],"Merit based support through National Talent Scholarship to the Under-graduates and Post graduate students seeking admission in Agricultural Universities in a State other than the State of their domicile, through ICAR All India Entrance Examination (AIEE).",,[],nts-pg,"['Scholarship', 'Agricultural', 'Postgraduate']",Search
IVRI Institute Scholarship For M.V.Sc. And Ph.D.,Ministry Of Agriculture and Farmers Welfare,['Education & Learning'],The Indian Veterinary Research Institute will award scholarships to MVSc and PhD students who need financial assistance.his provision will be utilized to assist as many students as possible who have good academic record and who are making diligent efforts to pursue higher education. ,,[],ivri-is,"['IVRI Institute', 'Scholarship']",Search
Prime Minister's Scholarship Scheme,Ministry Of Defence,['Education & Learning'],"Prime Minister’s Scholarship Scheme (PMSS) was introduced in the academic year 2006-07 by the Department of Ex-servicemen Welfare, to encourage higher technical and professional education for the dependent wards of Ex-Servicemen / Ex-Coast Guard personnel and their widows.",,[],pmss,"['Ex-servicemen', 'Student', 'Education', 'Scholarship', 'Ex-Coast Guard', 'Widow']",Search
Agricultural Extension,Ministry Of Agriculture and Farmers Welfare,"['Agriculture,Rural & Environment']","Extension Division endeavours towards successful implementation of Agricultural Extension activities. Through its various programmes, schemes and activities, Extension Division helps farmers to get information regarding scientific research and new knowledge in agricultural practices.",,[],ae,"['Agricultural', 'Extension']",Search
Sub-mission On Agriculture Mechanization,Ministry Of Agriculture and Farmers Welfare,"['Agriculture,Rural & Environment']",The Sub-Mission on Agricultural Mechanization was launched in 2014-15 by the Ministry of Agriculture and Farmers’ Welfare. ,,[],smam,"['Sub-Mission', 'Agriculture', 'Mechanization', 'SMAM']",Search
Financial Assistance Under The National Fund For Persons With Disabilities,Ministry Of Social Justice and Empowerment,"['Skills & Employment', 'Social welfare & Empowerment']",A scheme by DoEPwDs for providing financial assistance to the Persons with Disabilities (PwDs) in support of various livelihood activities. The objective of these guidelines is to provide a framework to support financial assistance under the Fund for relevant core areas  for empowerment of PwDs.,,[],fanf-pwd,"['Disability', 'PwD', 'Differently Abled', 'Empowerment', 'Financial Assistance']",Search
Interest Help Scheme For Graduate Doctor-Lawyer-Technical Graduate,,"['Education & Learning', 'Social welfare & Empowerment']","The ""Interest Help Scheme for Graduate Doctor-Lawyer-Technical Graduate"" aims to provide financial assistance in the form of interest subsidy on loans to the non-reserved category professionals in Gujarat.",,[],ihsfg,"['Education', 'Loan', 'Subsidy']",Search
Motorized Tricycle Yojana,,['Skills & Employment'],"Under this scheme, motorized tricycles are provided to specially-abled individuals with 50% or more locomotor disability to support self-employment and pursuing higher education from Senior Higher Secondary onwards.",,[],mts,"['Persons With Disabilities', 'Motorized Tricycle', 'Locomotor Disability', 'Self-employment', 'PwD']",Search
Grants In Aid To SC/ST Patients Suffering From Cancer And Other Malignant Diseases,,['Health & Wellness'],"The objective of the scheme is to provide financial assistance in the form of one-time grants to patients undergoing medical treatment in connection with T.B., Cancer and other malignant diseases. This scheme provides one-time financial assistance to patients belonging to the Tea Tribes community.  ",,[],gascstpsfcad,"['Cancer Patient', 'SC/ST', 'Scheduled Caste', 'Scheduled Tribe', 'Grant']",Search
Bebe Nanki Laadli Beti Kalyan Scheme,,"['Social welfare & Empowerment', 'Women and Child']","Bebe Nanki Laadli Beti Kalyan Scheme was launched under the 13th Finance Commission component for ""measures to improve gender ratio"" in the Punjab State from 2011-12. ",,[],bnlbks,"['Bebe Nanki', 'Laadli Beti Kalyan', 'Financial Assistance']",Search
Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,Ministry Of Science And Technology,['Education & Learning'],"Access to Knowledge for Technology Development and Dissemination (A2K+) is a scheme targeted towards developing mechanisms to disseminate science, technology and innovation-related information to industries, research and academic institutions",,[],a2ks,"['Research', 'Technology', 'Proposal', 'Industry', 'Institution']",Search
Super 5000,,['Education & Learning'],"In 2017, Madhya Pradesh State Government started a scheme ""Super 5000"" for student scholarships.",,[],spr,"['Financial Assistance', 'Meritorious', 'Education', 'Student']",Search
Jharkhand Nirman Karmakar Mrityu/Durghatana Sahayata Yojana,,['Social welfare & Empowerment'],"""Jharkhand Nirman Karmakar Mrityu/Durghatana Sahayata Yojana"" is a 100% State Sponsored scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. The scheme provides social security to all registered workers in the age group of 18-60 years.",,[],jnkmdsy,"['Construction Worker', 'Social Welfare', 'Financial Assistance', 'Accident', 'Disability']",Search
Bicycle Scheme (HBOCWWB),,['Social welfare & Empowerment'],"The scheme “Bicycle Scheme (HBOCWWB)” was launched by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana.",,[],bs-hbocwwb,"['Construction Worker', 'Labour', 'Bicycle', 'Financial Assistance']",Search
Dai Didi Mobile Clinic Scheme,,"['Health & Wellness', 'Women and Child']","Government of Chhattisgarh state, started a scheme named ""Dai Didi Clinic Scheme"" in 2020.",,[],ddmcs,"['Free Treatment', 'Medicine', 'Women Health']",Search
Tuition Fees And Examination Fees To Vjnt/sbc Students Studying In High Schools,,['Social welfare & Empowerment'],"The Government of Maharashtra introduced Tuition fees and Examination fees to Vimukta Jati Nomadic Tribes (VJNT)/ Special Backward Classes (SBC) students studying in High Schools scheme to improve interest of VJNT/SBC students. 
",,[],tfefvssshs,"['Vimukta Jati Nomadic Tribes', 'Special Backward Class', 'Tuition Fees', 'Examination Fees', 'High School']",Search
Award For Meritorious Students Of Meghalaya In The HSSLC Examination (Science Stream),,['Education & Learning'],"The Directorate of Educational Research & Training Meghalaya, Shillong is implementing a scheme in providing a one-time award for meritorious tribal students of Meghalaya who passed the current HSSLC Examination (Science) every year.",,[],amsmhsslc,"['Financial Assistance', 'Award', 'Tribal Students', 'Meghalaya']",Search
Mukhyamantri Kanya Vivaah / Nikaah Yojana,,"['Social welfare & Empowerment', 'Women and Child']","In 2006, Madhya Pradesh State Government started the ""Mukhyamantri Kanya Vivaah Yojana"" for females/girls. ",,[],mkvymp,"['Financial Assitance', 'Marriage Grant', 'Group Marriage', 'Empowerment']",Search
Self Employment Scheme,,['Social welfare & Empowerment'],"Under this scheme, Subsidies will be provided to the religious minority communities with the help of Nationalized / Scheduled banks to start or improve a small-scale handicraft industry, service sector,  and agro-based activities.",,[],ses,"['Self Employment', 'Minorities', 'Empowerment']",Search
Old-Age Pension Scheme,,['Social welfare & Empowerment'],The Himachal Pradesh government offers an Old Age pension scheme to support elderly citizens who have no means of livelihood. The scheme offers financial assistance to eligible citizens based on their age and income level. ,,[],ops,"['Social Security', 'Financial Assistance', 'DBT', 'Retirement Pension']",Search
Rainfed Area Development,Ministry Of Agriculture and Farmers Welfare,"['Agriculture,Rural & Environment']","Rainfed Area Development (RAD) scheme was launched in 2014-15 to mainstream development of rainfed areas in a sustainable manner. It adopts an area-based approach, focuses on Integrated Farming System (IFS) for enhancing productivity and minimizing risks associated with climatic variability. ",,[],rad,"['Rainfed', 'Dryland Agriculture', 'Watershed', 'Sustainable Agriculture']",Search
Seva Bhoj Yojna,Ministry Of Culture,['Sports & Culture'],"The scheme “Seva Bhoj Yojna” was launched by the Ministry of Culture, Government of India and it has been made operational with effect from the 1st of August, 2018. The scheme shall be applicable within the territorial jurisdiction of India and will remain open from the 1st to 15th of every month.",,[],sby,"['Seva', 'Bhoj', 'Charitable Institutions', 'Religious Institutions', 'Free Food', 'Prasad']",Search
Upgrading the Skills and Training in Traditional Arts/Crafts for Development,Ministry Of Minority Affairs,['Education & Learning'],"The Upgrading the Skills and Training in Traditional Arts/Crafts for Development (USTTAD) scheme is a program launched by the Ministry of Minority Affairs, Government of India, in 2015. ",,[],usttad,[],Search
Internship Scheme For Students Of Counselling/ Psychology/ Social Work/ Home Science Etc,,['Education & Learning'],The objective of this scheme is to offer aspiring postgraduate students an opportunity for internship facilities to be trained as qualified interns in state-run private children's and shelter homes who can be offered hands-on job training experience.,,[],isscpswhse,"['Internship', 'Student', 'Social Welfare', 'Postgraduation']",Search
Jute Resource-Cum-Production Centre,Ministry Of Textiles,['Skills & Employment'],Jute Resource-Cum-Production Centre (JRCPC) will be set up in the local clusters and localities across the country in collaboration with bonafide Agencies who have adequate experience in training and skilling progarms and have required training cum-production infrastructure. ,,[],jrcpc,"['Training Skilling Program', 'Production', 'Resource', 'Sales', 'Marketing']",Search
Mukhyamantri Nirmaan Majadur Kaushal vikaas evan Parivaar Sashaktikaran Yojana,,['Business & Entrepreneurship'],"Chhattisgarh State Government started ""Mukhyamantri Nirmaan Majadur Kaushal Vikaas Evan Parivaar Sashaktikaran Yojana"" for Building and other construction workers.",,[],mnmkvpsy,"['Business', 'Skill Upgrade', 'Empowerment']",Search
Shaikshanik Chatravriti Yojana,,"['Social welfare & Empowerment', 'Education & Learning']","Under MP Shram Kalyan Shaikshanik Chatravriti Yojana, scholarships will be provided to the students in the state to continue their education.",,[],mskscy,"['Financial Assistance', 'Student Education', 'Support Economic Conditions']",Search
Development of Industrie-Training Scheme,,['Skills & Employment'],The Government of Puducherry introduced the Scheme Development Of Industries-Training Scheme for the candidates to develop their skills to enable them to start their own ventures or to get suitable employment opportunity by sponsoring to selected short term trades.,,[],doits,"['Industries', 'HSC', 'Graduate', 'Diploma', 'Engineering', 'Puducherry']",Search
Devnarayan Pre-Matric Scholarship Scheme,,['Education & Learning'],"In Rajasthan, the Pre-Matriculation scholarship scheme is run by the Department of Social Justice and Empowerment for the educational upliftment of Very Backward Class students.",,[],dpmsc,"['Education', 'Scholarship', 'Financial Assistance', 'Student']",Search
Scheme For Grant Of Rewards To The Children Of Salt Labourers,Ministry Of Commerce And Industry,"['Social welfare & Empowerment', 'Education & Learning']","The scheme “Scheme for Grant of Rewards to the Children of Salt Labourers” was launched by Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Commerce and Industry in the year 1985.",,[],sgrcsl,"['Salt Workers', 'Salt Labourers', 'Children', 'Rewards', 'Salt Industry', 'Students']",Search
Tuition Fees And Examination Fees To Vjnt Students,,['Education & Learning'],"The Government of Maharashtra launched a scheme namely ""Tuition fees and examination fees to Vimukta Jati and Nomadic Tribes (VJNT) students.",,[],tfefvs,"['Tuition Fees', 'Vimukta Jati And Nomadic Tribes', 'Students', 'Examination Fees']",Search
Readymade Kichan Sahaayata Yojana,,"['Skills & Employment', 'Business & Entrepreneurship']","Chhattisgarh State Government started a scheme ""Readymade Kitchen Sahaayata Yojana"" for unorganized worker on 19 June 2017.",,[],rksy,"['Financial Assistance', 'Empowerment', 'Unorganized Worker']",Search
Scheme for Promoting Young Talents in Science-I,,"['Science, IT & Communications']",The scheme “Scheme for Promoting Young Talents in Science-I (SPYTiS-I)” is constituted for the purpose of providing financial and technical assistance to talented young students who have innovative ideas in scientific/technological pursuits.,,[],spytis-i,"['Young Talent', 'Science Project', 'Financial Assistance', 'Technical Assistance', 'Student']",Search
Scheme Of Assistance To Persons With Disabilities For Purchase/Fitting Of Aids And Appliances,,['Social welfare & Empowerment'],"""Scheme of Assistance to Persons with Disabilities for Purchase/Fitting of Aids and Appliances"" is a scheme by the Social Welfare Department, Govt. of Manipur. In this scheme, the PwD is provided with Financial Assistance for the Purchase/Fitting of Hearing Aids, Artificial Limbs, etc.",,[],sapwdpfaa,"['Financial Asisstance', 'Person With Disability', 'Social Welfare', 'PwD']",Search
Seed Capital Scheme,,['Business & Entrepreneurship'],"The scheme “Seed Capital Scheme” is a scheme by the Department of Information Technology, Electronics and Communications, Government of Goa, for the Startups of Goa. Through this scheme, startups with a promising idea can get a one-time grant of up to ₹ 10,00,000.",,[],scs-goa,"['Seed Capital', 'Business', 'Startup', 'Entrepreneur']",Search
Back-to-Lab Research Fellowship Programme ,,"['Education & Learning', 'Women and Child']","To facilitate the re-entry of women having a career break to Science research, the Kerala State Council of Science, Technology and Environment (KSCSTE) launched the “Back-to-Lab Research Fellowship Programme” in 2010.",,[],btlrfp,"['Research', 'Fellowship', 'Woman', 'Scholar', 'Fellow', 'Unemployed']",Search
Integrated Horticulture Development,,['Social welfare & Empowerment'],"Under Horticulture sector 'Integrated Horticulture Development' is a major State Plan scheme which supports different activities like necessary civil works, grants-in-aid to the horticulture growers, procurement of tools and equipment's, introduction of new technology etc.",,[],ihd,"['Vegetables', 'Covering Fruits', 'Root And Tuber Crops', 'Mushrooms', 'Spices, Flowers', 'Aromatic Plants, Coconut, Cashewand']",Search
Vidyajyothi Scheme- Financial Aid For Uniforms And Study Materials To PH Students,,['Education & Learning'],"The scheme “Vidyajyothi Scheme- Financial Aid for Uniforms and Study Materials to PH Students” was launched by the Department of Social Justice, Government of Kerala. ",,[],vs-fausmphs,"['Student', 'Person With Disability', 'Financial Assistance', 'Uniform', 'Study Material']",Search
 Safai Karmakaar Ke Putr/Putri Hetu Vishesh Coaching Yojana,,['Education & Learning'],"Chhattisgarh State Government started a scheme ""Safai Karmakaar Ke Putr/Putri Hetu Vishesh Coaching Yojana"" for unorganized worker on 28 April 2012.",,[],skhvc,"['Education', 'Coaching']",Search
Scheme of Grant-in-Aid to Voluntary and other Organizations Working for Scheduled Castes,Ministry Of Social Justice and Empowerment,['Social welfare & Empowerment'],"The ""Scheme aims to enhance the reach of development interventions of the Government and fill the gaps in service-deficient Scheduled Caste-dominant areas in sectors such as education, health, vocational training, etc., through the efforts of voluntary organizations and other organizations.",,[],sgiavoowsc,"['Scheduled Caste', 'Grant', 'NGO']",Search
Dr Ambedkar Central Sector Scheme of Interest Subsidy on Educational Loans for Overseas Studies for Other Backward Classes (OBCs) and Economically Backward Classes (EBCs),Ministry Of Social Justice and Empowerment,"['Education & Learning', 'Social welfare & Empowerment', 'Banking,Financial Services and Insurance']","The scheme provides interest subsidy to the students belonging to the OBCs and EBCs on the interest payable for the period of the moratorium for the Education Loans for overseas studies to pursue approved courses of studies abroad at Masters, M.Phil. and PhD level. ",,[],dacssiselosobcebc,"['Loan', 'Subsidy', 'Interest', 'Education', 'Other Backward Class', 'Economically Backward Class']",Search
Coir Vikas Yojana- Coir Industry Technology Upgradation Scheme,"Ministry Of Micro, Small and Medium Enterprises","['Business & Entrepreneurship', 'Skills & Employment']","The scheme “Coir Industry Technology Upgradation Scheme (CITUS)” is a component of “Coir Vikas Yojana” and the scheme was launched by Ministry of Micro, Small & Medium Enterprises, Government of India. ",,[],cvy-citus,"['Coir', 'Coir Industry', 'Technology Upgradation', 'MSME', 'CITUS']",Search
Scheme For Providing Assistive Devices To Differently Abled Persons,,['Social welfare & Empowerment'],"The scheme “Scheme for Providing Assistive Devices to Differently Abled Persons” was launched by the Department of Social Justice, Government of Kerala.",,[],spaddap,"['Differently Abled Persons', 'Assistive Devices', 'Social Welfare', 'Disability', 'PwD']",Search
Biju Yuva Sashaktikaran Yojana,,['Education & Learning'],"Launched in the year 2013-14, ""Biju Yuva Sashaktikaran Yojana"" is a scheme by the Dept. of Higher Education. ₹ 30,000/- is transferred directly to the bank accounts of 15,000 meritorious +2 students through Direct Benefit Transfer (DBT) for the purchase of laptop.",,[],bysy,"['Scholarship', 'DBT']",Search
Integrated Scheme on Agriculture Cooperation,Ministry Of Agriculture and Farmers Welfare,"['Agriculture,Rural & Environment']","The Integrated Scheme on Agriculture Cooperation (ISAC) is a Central Sector Scheme of the Ministry of Agriculture and Farmers Welfare, Government of India. It is being implemented through the National Cooperative Development Corporation (NCDC).",,[],isac,"['Financial Assistance', 'Improve Economic Conditions', 'Loan']",Search
Entrepreneurship Development by SC & ST Women in Science Technology Engineering Mathematics,,"['Business & Entrepreneurship', 'Women and Child']","ED/SC-ST- WISTEM)” is aimed for exploring the potential of entrepreneurship along with improvement in the livelihood options for unemployed SC & ST women in Science, Technology, Engineering & Mathematics (STEM) areas using tools of Science, Technology & Innovation.",,[],edsc-st-wistem,"['Entrepreneurship', 'Woman', 'SC', 'ST', 'Unemployed', 'Fellowship', 'Financial Support']",Search
WISE Post-Doctoral Fellowship,Ministry Of Science And Technology,"['Women and Child', 'Science, IT & Communications']",“WISE Post-Doctoral Fellowship” is a new programme of the Department of Science & Technology that aims to provide opportunities to women scientists & technologists between the age group of 27-60 years who want to continue their research as bench-level scientists in basic and applied sciences.,,[],wise-pdf,"['WISE', 'Post-Doctoral', 'Fellowship', 'KIRAN', 'Woman', 'Research']",Search
Kanya Vivah Sahayta Yojana,,['Social welfare & Empowerment'],The primary objective of this scheme is to provide financial assistance for marriageable daughters of beneficiary registered labourers and registered women construction labourers working in the building and other construction processes and to encourage legal arrangements.,,[],kvsy,"['Kanya', 'Vivah', 'Girl', 'Marriage', 'Financial Assistance']",Search
Rehabilitation Treatment For The Disabled,,"['Social welfare & Empowerment', 'Education & Learning', 'Health & Wellness']","The government of Meghalaya provides rehabilitation treatment for persons with disabilities under the ""Disability Rehabilitation Scheme"". ",,[],rtfd,"['Medical Treatment', 'Assistive Devices', 'Rehabilitation Services', 'Training', 'Education']",Search
Mangalya Scheme For Widow Remarriage,,"['Social welfare & Empowerment', 'Women and Child']","The “Mangalya Scheme” was launched by the Department of Women and Child Development, Government of Kerala. Under the scheme, financial assistance is to be provided to eligible widows and divorced women for their remarriage.",,[],mswr,"['Widow', 'Divorced Woman', 'Financial Assistance', 'Remarriage', 'Woman']",Search
Rajiv Gandhi Gramin Bhoomihin Krishi Majdoor Nyay Yojana,,"['Agriculture,Rural & Environment']","The state government has started the ""Rajiv Gandhi Landless Agricultural Laborer Justice Scheme"" with a view to providing strength to farmers. ",,[],rggbkmny,"['Financial Assistance', 'Agricultural', 'Landless', 'Laborer']",Search
Paramparagat Krishi Vikas Yojana,Ministry Of Agriculture and Farmers Welfare,"['Agriculture,Rural & Environment']","The Paramparagat Krishi Vikas Yojana (PKVY), launched in 2015, is an extended component of Soil Health Management (SHM) under the Centrally Sponsored Scheme (CSS), National Mission on Sustainable Agriculture (NMSA). ",,[],pkvy,"['Organic Farming', 'Soil Health', 'Pesticide-free Agriculture']",Search
Indo-French Postdoctoral Research Programme for Women in Science,Ministry Of Science And Technology,"['Science, IT & Communications', 'Women and Child']",This programme will provide a platform for women candidates to engage & work with Indian/French scientific communities with an aim to accelerate their talented instincts towards carrying out advanced studies and research in the frontier areas of Science & Technology.,,[],prowis-i,"['Postdoctoral', 'Research', 'Woman', 'Science', 'French', 'Fellowship', 'CEFIPRA']",Search
Assistance For Purchase Of Spectacles By A Differently Abled Person,,['Social welfare & Empowerment'],"The ""Assistance for Purchase of Spectacles by A Differently Abled Persons"" scheme in Tamil Nadu is a government initiative that aims to provide financial assistance to differently-abled individuals.",,[],apsdap,"['Differently Abled Persons', 'Spectacles', 'Tamil Nadu']",Search
Teachers Associateship for Research Excellence,Ministry Of Science And Technology,"['Science, IT & Communications']","The scheme “Teachers Associateship for Research Excellence (TARE)” was launched by Science & Engineering Research Board, Department of Science & Technology, Government of India which aims to facilitate mobility of faculty members working in State Universities /Colleges/Private Academic institutions.",,[],tare,"['TARE', 'Teacher', 'Research', 'Faculty', 'Fellowship', 'SERB']",Search
YSR Pension Kanuka,,['Social welfare & Empowerment'],"""YSR Pension Kanuka"" is a Social Security Scheme by the Govt. of Andhra Pradesh. The objective of this scheme is to ameliorate the hardships of the poor and vulnerable sections of society particularly the old and infirm, widows, and persons with disability to secure a dignified life.",,[],ysrpk,"['Senior Citizen', 'Widow', 'Pension', 'Person With Disability', 'Transgender']",Search
Grant-in-aid (TB),,['Health & Wellness'],"State Government is granting financial assistance in the form of Grant-in-Aid to a person having no employment under the Government, Public Sector undertaking, or under any local bodies may qualify to receive the grand suffering from fell disease.",,[],giatb,"['SC/ST', 'TB', 'Grant', 'Financial Assistance', 'DBT']",Search
Vanbandhu Kalyan Yojana,,['Social welfare & Empowerment'],"Vanbandhu Kalyan Yojana focuses on integrated, holistic, and inclusive development of tribal communities. It aims at creation of quality social and civil infrastructure, and sustainable livelihood, employment & entrepreneurship in tribal areas such that the income of every tribal family doubles.",,[],vky,"['Vanbandhu Kalyan Yojana', 'Vanbandhu', 'Kalyan', 'VKY']",Search
Mai Bhago Vidya Scheme,,"['Social welfare & Empowerment', 'Women and Child']",The government of Punjab launched Mai BhagoVidya Scheme in the State during 2011-12. ,,[],mbvs,"['Girl Welfare', 'Girl Empowerment', 'Education', 'Free Cycle']",Search
Boneej Scheme,,['Social welfare & Empowerment'],"""Boneej"" a special scheme to assist the rural industries of the state and it was announced by the Hon'ble Finance Minister's in his Budget speech on 26th July, 2016",,[],bns,"['Boneej', 'Financial Assistance', 'Assam']",Search
Post-Graduate Scholarships for Professional Courses for SC/ST Candidates,Ministry of Education,['Education & Learning'],"The scheme has been initiated to provide opportunity to deprived sections of the society, viz. SC/ST for undertaking postgraduate level studies in Professional subjects like Engineering & Technology, Management, Pharmacy etc. in recognised Indian Universities/Institutions/Colleges.",,[],pgspcscstc,"['Post Graduate', 'Scholarship', 'Professional Course', 'ST', 'SC', 'Student', 'UGC']",Search
E-YUVA Scheme: BIRAC’s Innovation Fellows (for post graduates and above),Ministry Of Science And Technology,"['Science, IT & Communications']","BIRAC’s Innovation fellows shall apply as an individual and are required to work full time at EYC. BIRAC’s Innovation Fellows are expected to initiate biotech startups. Hence, only proposals with potential to commercialize innovative products and technologies will be considered for support.",,[],e-yuvasbiraciffpga,"['E-YUVA', 'Innovation', 'Fellow', 'Translational Research', 'Fellowship', 'Post Graduate']",Search
Promotion of Energy Audit and Conservation of Energy (PEACE): Detailed Energy Audit,,['Business & Entrepreneurship'],"The ""Detailed Energy Audit"" component of this scheme is introduced to identify the major sources of energy in use, identify the lapses in energy usage, identify areas to improve energy usage, determine the level of consumption of the energy sources, and recommend policy measures.",,[],peacedea,"['Energy', 'Audit', 'Business', 'MSME', 'Enterprise']",Search
House Subsidy Scheme,,['Housing & Shelter'],"A subsidy of Rs. 1,30,000/- is given to persons from Scheduled Castes, Other Backward Classes, Minority Communities, Single Women, or handicapped for the construction of the house. ",,[],hs,"['Housing Scheme', 'Subsidy', 'Construction', 'SC/ST', 'Women', 'Handicapped', 'Minority Scheme']",Search
Lakshadweep Scholarship Scheme,,['Education & Learning'],The Lakshadweep Scholarship Scheme is a government initiative aimed at providing financial assistance to students from Lakshadweep pursuing higher education.,,[],lkdss,"['Education', 'Scholarship', 'Higher Education']",Search
Goa Tribal's Employment Generation Programme Scheme,,"['Banking,Financial Services and Insurance', 'Skills & Employment']","""Goa Tribal’s Employment Generation Programme Scheme"" provides a subsidy of 40% on the total loan amount i.e. 95% of the project cost. The scheme is for educated unemployed individuals in the 18 to 45 years age group who are members of the tribal communities of Goa.",,[],gtegp,"['Loan', 'Employment', 'Business', 'Entrepreneurship', 'Scheduled Tribe']",Search
Mandahasam Scheme To Provide Artificial Dentures To Senior Citizens,,['Social welfare & Empowerment'],"The scheme “Mandahasam Scheme to Provide Artificial Dentures to Senior Citizens” was launched by the Department of Social Justice, Government of Kerala.",,[],mspadsc,"['Senior Citizen', 'Artificial Tooth', 'Financial Assistance', 'Dental', 'Teeth', 'Dentures']",Search
Karma Veer Dadasaheb Gaikwad Sabalikaran & Swabhiman Yojana,,"['Agriculture,Rural & Environment', 'Banking,Financial Services and Insurance', 'Social welfare & Empowerment']","The main objective of this scheme is to improve the financial condition of the scheduled castes and Nav-Buddhists who are landless workers and are from ""Below Poverty Line"". Only citizens who are permanent residents of Maharashtra are eligible. This scheme is 100% funded by the State Govt.",,[],kvdgssy,"['Loan', 'Subsidy', 'Below Poverty Line', 'Scheduled Caste', 'Financial Assistance']",Search
